much, a great deal|كَثير|كَثيرون/كِثار|noun|common|m|13
because|ﻷَنَّ||particle|||13
yogurt|لَبَن||noun|food|m|13
why|لِماذا||particle|||13
one coming early|مُبَكِّر|مُبَكِّرون|noun|other|m|13
one coming late|مُتَأخِّر|مُتَأخِّرهن|noun|other|m|13
stewed|مٌدَمَّس||adj|||13
once, one occurrence|مَرّة|مَرّات|noun|common|f|13
show, (television) series|مُسَلسَل|مُسَلسَلات|noun|entertainment|m|13
watching|مٌشاهَدة||noun|||13
busy|مَشْغول|مَشْغولون|noun|other|m|13
together|مَعاً||adv|||13
paste|مَعْجون|مَعاجين|noun|other|m|13
fried|مَقليّ||adj|food||13
to forget|نَسِيَ (يَنسى) نِسْيان||verb|||13
to clean|نَظَّفَ (يُنَظِّفُ) تَنْظيف||verb|||13
to get up|نَهَضَ (يَنهَضُ) نُهوض||verb|||13
by God, I swear, really (used to add emphasis)|وَاللّهِ||phrase|||13
face|وَجْه|وُجوه|noun|body|m|13
hand|يَد|أيْدٍ|noun|body|f|13
rice|أرُزّ||noun|food|m|14
extended family|أُسْرة|أُسَر|noun|family|f|14
to wait|اِنتَظَرَ (يَنْتَظِرُ) اِنتِظار||verb|||14
onion|بَصَل||noun|food|m|14
neighborhood, borough|حَيّ|أحْياء|noun|locations|m|14
to visit|زارَ (يَزورُ) زِيارة||verb|||14
to do (Syrian colloquial)|سلوى (يساوي)||verb|||14
what (Syrian colloquial)|شو||particle|||14
journalism|صِحافة||noun|subjects|f|14
worker, laborer|عامِل|عُمّال|noun|occupations|m|14
colloquial|عاميّة||participle|||14
lentils|عَدَس||noun|food|m|14
break, vacation|عُطلة|عُطَل/عُطلات|noun|other|f|14
weekend|عُطْلَةُ نِهايَةِ اﻷُسْبوعِ||noun|times|f|14
mayor|عُمْدَة|عُمَد|noun|titles|m|14
celebration, festivity, feast day, holiday|عيد|أعْياد|noun|times|m|14
Labor Day|عيدُ العُمّال||noun|holidays||14
Classical Arabic (lit., "most eloquent")|فُصْحى||noun|languages||14
to prefer|فَضَّلَ (يُفَضِّل) تَفْضيل||verb|||14
train|قِطار|قِطارات|noun|transportation|m|14
arch|قَوْس|أقْواس|noun|other|m|14
lightly salted, partially dehydrated yogurt with olive oil|لَبَنة||noun|food|f|14
for this reason, therefore|لِذلِكَ||demonstrative|||14
station|مَحَطّة|مَحَطّات|noun|locations|f|14
crowded|مُزْدَحِم||adj|other||14
famous, well-known|مَشْهور|(ون), مَشاهير|adj|other||14
pasta, macaroni|مَعْكَرونة||noun|food|f|14
place of entertainment|مَلْهىً|مَلاهٍ|noun|entertainment|m|14
engineer|مُهَنْدِس|مُهَندِسون|noun|occupations|m|14
